,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,date,Daman and Diu,Delhi,Dadra and Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,status,Telangana,Tamil Nadu,Tripura,India,Uttar Pradesh,Uttarakhand,West Bengal
81,0,18,0,0,2,1,0,2020-04-10,0,183,0,0,116,0,6,1,23,10,7,1,0,210,0,0,40.0,0,0,2,21,2,98,0,Confirmed,16,77,1,871,23,0,13
82,0,0,0,0,0,0,0,2020-04-10,0,2,0,1,7,0,4,0,0,4,27,1,0,63,0,0,12.0,0,0,10,2,0,0,0,Recovered,0,17,0,151,1,0,0
83,0,0,0,1,0,0,0,2020-04-10,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0,0,4.0,0,0,0,1,0,0,0,Deceased,0,1,0,22,0,0,0
84,0,24,0,0,4,0,7,2020-04-11,0,166,0,0,90,4,3,3,17,8,10,0,0,187,0,0,78.0,0,0,4,7,0,139,0,Confirmed,16,58,0,854,19,0,10
85,0,0,0,0,0,0,0,2020-04-11,0,0,0,4,11,6,0,0,0,5,19,0,0,20,0,0,1.0,0,0,0,0,0,56,0,Recovered,51,0,0,186,13,0,0
86,0,0,0,0,0,0,0,2020-04-11,0,5,0,0,3,0,0,0,0,0,0,0,0,17,0,0,4.0,0,0,0,1,0,6,0,Deceased,2,1,0,40,1,0,0
87,0,15,0,0,0,2,6,2020-04-12,0,85,0,0,48,0,16,2,21,17,2,0,0,221,0,0,33.0,0,1,0,12,0,104,0,Confirmed,28,106,0,758,31,0,8
88,0,2,0,0,11,0,1,2020-04-12,0,1,0,0,0,4,8,0,0,15,36,0,0,9,0,0,3.0,0,0,0,3,0,5,0,Recovered,7,6,0,114,0,0,3
89,0,1,0,0,0,0,0,2020-04-12,0,5,0,0,2,0,1,1,0,0,0,0,0,22,0,0,3.0,0,0,0,0,0,2,0,Deceased,2,1,0,42,0,0,2
90,0,19,0,2,2,0,0,2020-04-13,0,356,0,0,56,0,1,5,25,15,3,2,0,352,1,0,52.0,0,0,1,6,0,93,0,Confirmed,61,98,0,1243,75,0,18
91,0,0,0,0,2,0,0,2020-04-13,0,3,0,0,10,0,7,0,10,6,19,1,0,12,0,0,10.0,0,0,6,2,0,0,0,Recovered,0,8,0,112,4,2,10
92,0,0,0,0,0,0,0,2020-04-13,0,4,0,0,2,0,0,0,0,2,0,0,0,11,0,0,7.0,0,0,0,0,0,0,0,Deceased,1,0,0,27,0,0,0
93,0,45,0,1,0,0,2,2020-04-14,0,51,0,0,78,1,2,3,8,13,8,0,0,350,0,0,127.0,0,0,5,8,0,108,0,Confirmed,52,31,0,1035,102,2,38
94,0,4,0,0,1,0,3,2020-04-14,0,0,0,0,5,1,4,0,14,11,13,0,0,30,0,0,13.0,0,0,0,2,0,26,0,Recovered,7,23,0,167,1,2,7
95,0,4,0,0,0,0,0,2020-04-14,0,2,0,0,2,0,0,0,0,2,0,0,0,18,0,0,3.0,0,0,0,1,0,0,0,Deceased,1,1,0,37,3,0,0
96,0,41,0,0,6,0,0,2020-04-15,0,17,0,0,116,2,6,1,22,19,1,1,0,232,6,0,197.0,0,0,0,2,0,71,0,Confirmed,6,38,0,882,75,0,23
97,0,4,1,2,0,2,4,2020-04-15,0,10,0,1,5,0,2,0,6,9,7,0,0,36,0,0,0.0,0,0,1,0,0,0,0,Recovered,8,37,1,144,7,0,1
98,0,3,0,0,0,0,0,2020-04-15,0,2,0,0,5,0,0,0,0,2,0,0,0,9,1,0,0.0,0,0,0,0,0,0,0,Deceased,0,2,0,27,3,0,0
99,0,9,0,2,11,0,3,2020-04-16,0,62,0,0,163,0,11,1,14,36,7,0,0,286,2,0,226.0,0,0,0,11,0,55,0,Confirmed,50,25,0,1062,70,0,18
100,1,0,0,3,8,0,6,2020-04-16,0,11,0,0,9,3,8,0,2,2,27,2,0,5,0,0,6.0,0,0,0,2,0,17,0,Recovered,68,62,0,258,11,0,5
101,0,0,0,0,0,0,0,2020-04-16,0,6,0,0,3,0,0,0,0,1,0,0,0,7,0,0,2.0,0,0,0,1,0,0,0,Deceased,0,1,0,26,2,0,3
102,1,38,0,0,2,0,0,2020-04-17,0,67,0,0,170,3,8,3,14,44,1,0,0,118,0,0,146.0,0,0,0,14,0,98,0,Confirmed,66,56,0,920,44,3,24
103,0,15,0,4,0,0,1,2020-04-17,0,20,0,0,13,0,21,0,4,6,10,0,0,31,0,0,0.0,0,0,2,1,0,19,0,Recovered,0,103,0,273,14,0,9
104,0,0,0,0,0,0,0,2020-04-17,0,4,0,0,5,0,0,0,1,0,0,0,0,7,0,0,14.0,0,0,0,0,0,6,0,Deceased,0,0,0,38,1,0,0
105,2,31,0,0,1,2,0,2020-04-18,0,186,0,0,277,1,9,1,13,25,4,0,0,328,2,0,92.0,0,0,1,23,0,122,0,Confirmed,43,49,0,1371,125,2,32
106,0,7,0,3,5,0,1,2020-04-18,0,135,0,0,7,0,14,0,9,16,2,0,0,34,0,0,57.0,0,0,3,1,3,17,0,Recovered,0,82,0,426,26,0,4
107,0,2,0,0,1,0,0,2020-04-18,0,1,0,0,12,0,0,0,0,1,0,0,0,10,0,0,0.0,0,0,0,2,0,4,0,Deceased,0,0,0,35,0,0,2
